city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Hanko,59.8283,22.9658,Finland,FI,Uusimaa,minor,8517,8517
Hausjärvi,60.7867,25.0250,Finland,FI,Kanta-Häme,minor,8504,8504
Keminmaa,65.8000,24.5500,Finland,FI,Lappi,minor,8388,8388
Elimäki,60.7167,26.4500,Finland,FI,Kymenlaakso,,8264,8264
Pudasjärvi,65.3583,27.0000,Finland,FI,Pohjois-Pohjanmaa,minor,8257,8257
Loppi,60.7167,24.4417,Finland,FI,Kanta-Häme,minor,8175,8175
Laihia,62.9750,22.0083,Finland,FI,Pohjanmaa,minor,8090,8090
Toijala,61.1667,23.8667,Finland,FI,Pirkanmaa,minor,8060,8060
Suomussalmi,64.8833,28.9167,Finland,FI,Kainuu,minor,8051,8051
Nurmes,63.5450,29.1333,Finland,FI,Pohjois-Karjala,minor,7996,7996
Jalasjärvi,62.4917,22.7667,Finland,FI,Etelä-Pohjanmaa,minor,7885,7885
Nurmijärvi,60.4667,24.8083,Finland,FI,Uusimaa,minor,7841,7841
Mynämäki,60.6833,21.9833,Finland,FI,Varsinais-Suomi,minor,7838,7838
Kuhmo,64.1250,29.5167,Finland,FI,Kainuu,minor,7755,7755
Oulainen,64.2667,24.8167,Finland,FI,Pohjois-Pohjanmaa,minor,7610,7610
Kiuruvesi,63.6500,26.6167,Finland,FI,Pohjois-Savo,minor,7597,7597
Kokemäki,61.2583,22.3500,Finland,FI,Satakunta,minor,7591,7591
Kemijärvi,66.7167,27.4333,Finland,FI,Lappi,minor,7534,7534
Nykarleby,63.5167,22.5333,Finland,FI,Pohjanmaa,minor,7521,7521
Rajamäki,60.5250,24.7614,Finland,FI,Uusimaa,,7415,7415
Jämsänkoski,61.9181,25.1708,Finland,FI,Keski-Suomi,,7351,7351
Tyrvää,61.3474,22.9014,Finland,FI,Pirkanmaa,,7306,7306
Pyhäselkä,62.4333,29.9694,Finland,FI,Pohjois-Karjala,,7208,7208
Ikaalinen,61.7667,23.0667,Finland,FI,Pirkanmaa,minor,7207,7207
Outokumpu,62.7250,29.0167,Finland,FI,Pohjois-Karjala,minor,7139,7139
Säkylä,61.0500,22.3500,Finland,FI,Satakunta,minor,7070,7070
Suonenjoki,62.6250,27.1250,Finland,FI,Pohjois-Savo,minor,6891,6891
Virrat,62.2500,23.7667,Finland,FI,Pirkanmaa,minor,6844,6844
Inari,68.9050,27.0303,Finland,FI,Lappi,minor,6804,6804
Tyrnävä,64.7500,25.6500,Finland,FI,Pohjois-Pohjanmaa,minor,6793,6793
Parkano,62.0083,23.0250,Finland,FI,Pirkanmaa,minor,6766,6766
Harjavalta,61.3167,22.1336,Finland,FI,Satakunta,minor,6753,6753
Vörå,63.1333,22.2500,Finland,FI,Pohjanmaa,minor,6714,6714
Haapajärvi,63.7500,25.3167,Finland,FI,Pohjois-Pohjanmaa,minor,6687,6687
Eno,62.8000,30.1500,Finland,FI,Pohjois-Karjala,,6653,6653
Vanaja,61.0036,24.4694,Finland,FI,Kanta-Häme,,6636,6636
Haapavesi,64.1417,25.3667,Finland,FI,Pohjois-Pohjanmaa,minor,6591,6591
Jokela,60.5528,24.9664,Finland,FI,Uusimaa,,6574,6574
Pälkäne,61.3383,24.2667,Finland,FI,Pirkanmaa,minor,6567,6567
Piikkiö,60.4250,22.5167,Finland,FI,Varsinais-Suomi,,6505,6505
Iitti,60.8833,26.3333,Finland,FI,Päijät-Häme,minor,6504,6504
Nilsiä,63.2050,28.0833,Finland,FI,Pohjois-Savo,,6499,6499
Kittilä,67.6500,24.9083,Finland,FI,Lappi,minor,6421,6421
Viitasaari,63.0750,25.8597,Finland,FI,Keski-Suomi,minor,6411,6411
Kronoby,63.7250,23.0333,Finland,FI,Pohjanmaa,minor,6405,6405
Mänttä,62.0292,24.6236,Finland,FI,Pirkanmaa,minor,6341,6341
Kristinestad,62.2667,21.3500,Finland,FI,Pohjanmaa,minor,6242,6242
Siuntio,60.1333,24.2167,Finland,FI,Uusimaa,minor,6182,6182
Mäntyharju,61.4167,26.8833,Finland,FI,Etelä-Savo,minor,6159,6159
Tammela,60.8000,23.7667,Finland,FI,Kanta-Häme,minor,6155,6155
Pieksämäen Maalaiskunta,62.2833,27.0667,Finland,FI,Etelä-Savo,,6118,6118
Rusko,60.5417,22.2250,Finland,FI,Varsinais-Suomi,minor,6110,6110
Noormarkku,61.5917,21.8667,Finland,FI,Satakunta,,6109,6109
Ähtäri,62.5500,24.0667,Finland,FI,Etelä-Pohjanmaa,minor,6068,6068
Heinolan Maalaiskunta,61.2500,26.0667,Finland,FI,Päijät-Häme,,6061,6061
Juva,61.9000,27.8500,Finland,FI,Etelä-Savo,minor,5932,5932
Loimaan Kunta,60.8667,22.9833,Finland,FI,Varsinais-Suomi,,5909,5909
Perniö,60.2042,23.1222,Finland,FI,Varsinais-Suomi,,5903,5903
Nakkila,61.3647,22.0056,Finland,FI,Satakunta,minor,5651,5651
Kerimäki,61.9167,29.2833,Finland,FI,Etelä-Savo,,5554,5554
Malax,62.9417,21.5500,Finland,FI,Pohjanmaa,minor,5545,5545
Ylistaro,62.9403,22.5167,Finland,FI,Etelä-Pohjanmaa,,5543,5543
Kannus,63.9000,23.9167,Finland,FI,Keski-Pohjanmaa,minor,5520,5520
Lammi,61.0792,25.0111,Finland,FI,Kanta-Häme,,5506,5506
Ingå,60.0456,24.0047,Finland,FI,Uusimaa,minor,5384,5384
Suolahti,62.5639,25.8528,Finland,FI,Keski-Suomi,,5364,5364
Vilppula,62.0222,24.5097,Finland,FI,Pirkanmaa,,5354,5354
Pyhäjärvi,63.6833,25.9833,Finland,FI,Pohjois-Pohjanmaa,,5337,5337
Pyhtää,60.5000,26.5500,Finland,FI,Kymenlaakso,,5321,5321
Ruokolahti,61.2917,28.8167,Finland,FI,Etelä-Karjala,minor,5312,5312
Kangasniemi,61.9900,26.6417,Finland,FI,Etelä-Savo,minor,5296,5296
Teuva,62.4861,21.7472,Finland,FI,Etelä-Pohjanmaa,minor,5269,5269
Larsmo,63.7500,22.7500,Finland,FI,Pohjanmaa,minor,5264,5264
Parikkala,61.5500,29.5000,Finland,FI,Etelä-Karjala,minor,5235,5235
Oulujoki,65.0072,25.5636,Finland,FI,Pohjois-Pohjanmaa,,5230,5230
Viiala,61.2111,23.7667,Finland,FI,Pirkanmaa,,5207,5207
Pornainen,60.4750,25.3750,Finland,FI,Uusimaa,minor,5125,5125
Sievi,63.9000,24.5167,Finland,FI,Pohjois-Pohjanmaa,minor,5124,5124
Jokioinen,60.8000,23.4833,Finland,FI,Kanta-Häme,minor,5058,5058
Kellokoski,60.5500,25.1000,Finland,FI,Uusimaa,,5000,5000
Korpilahti,62.0167,25.5611,Finland,FI,Keski-Suomi,,4985,4985
Pojo,60.1000,23.5250,Finland,FI,Uusimaa,,4874,4874
Nousiainen,60.6000,22.0833,Finland,FI,Varsinais-Suomi,minor,4859,4859
Ristiina,61.5083,27.2583,Finland,FI,Etelä-Savo,,4856,4856
Äetsä,61.2847,22.6972,Finland,FI,Pirkanmaa,,4837,4837
Urjala,61.0833,23.5500,Finland,FI,Pirkanmaa,minor,4829,4829
Taipalsaari,61.1583,28.0667,Finland,FI,Etelä-Karjala,minor,4815,4815
Juankoski,63.0667,28.3333,Finland,FI,Pohjois-Savo,minor,4804,4804
Vähäkyrö,63.0550,22.1083,Finland,FI,Pohjanmaa,,4775,4775
Askola,60.5283,25.6000,Finland,FI,Uusimaa,minor,4763,4763
Tohmajärvi,62.2333,30.3333,Finland,FI,Pohjois-Karjala,minor,4738,4738
Joroinen,62.1833,27.8333,Finland,FI,Etelä-Savo,minor,4729,4729
Alahärmä,63.2500,22.8500,Finland,FI,Etelä-Pohjanmaa,,4717,4717
